Row,Identifier 1,Identifier 2,Amount,d 13C/12C,rArea Flash TCD,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
1,Flush,,,-11.602,220821,4362,,,,,,Flush,0,-11.70,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,5500,C Ampl 44
2,Blank,,,-30.676,549,86,,,,,,Blank,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,2000,Dilution used
3,Flush,,,-11.842,233360,2183,,,,,,Flush,0,-11.64,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,,
4,Flush,,,-11.629,224104,4484,,,,,,Flush,0,-11.75,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,,
5,Taipan,,0.268,-11.714,184764,3691,,,,,,Taipan,0,-11.72,#DIV/0!,45.2,#DIV/0!,#DIV/0!,0.39934977,#DIV/0!,,
6,LOC,,1.046,-26.73,16604,1162,,,,,,LOC,0,-26.44,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.950946644,#DIV/0!,,
7,HOC,,1.374,-27.738,124986,5020,,,,,,HOC,0,-27.97,#DIV/0!,5.9,#DIV/0!,#DIV/0!,1.505378486,#DIV/0!,,
8,66,,2.262,-24.491,120867,4903,,,,,,66,0,-24.70,#DIV/0!,3.5,#DIV/0!,#DIV/0!,2.537426066,#DIV/0!,,
9,162,,9.578,-24.44,32772,2280,,,,,,162,0,-24.29,#DIV/0!,0.2,#DIV/0!,#DIV/0!,23.10482456,#DIV/0!,,
10,197,,9.75,-24.156,17327,1198,,,,,,197,0,-23.86,#DIV/0!,0.1,#DIV/0!,#DIV/0!,44.76210351,#DIV/0!,,
11,142,,9.262,-24.646,17566,1239,,,,,,142,0,-24.36,#DIV/0!,0.1,#DIV/0!,#DIV/0!,41.11460856,#DIV/0!,,
12,60,,2.484,-24.466,83160,5964,,,,,,60,0,-24.82,#DIV/0!,2.2,#DIV/0!,#DIV/0!,2.290744467,#DIV/0!,,
13,187,,1.942,-24.225,17013,1203,,,,,,187,0,-23.93,#DIV/0!,0.6,#DIV/0!,#DIV/0!,8.878636741,#DIV/0!,,
14,175,,12.108,-24.59,27833,1951,,,,,,175,0,-24.40,#DIV/0!,0.1,#DIV/0!,#DIV/0!,34.13326499,#DIV/0!,,
15,54,,3.084,-24.702,138996,3414,,,,,,54,0,-24.71,#DIV/0!,2.9,#DIV/0!,#DIV/0!,4.968365554,#DIV/0!,,
16,161,,11.146,-23.949,17721,1262,,,,,,161,0,-23.66,#DIV/0!,0.1,#DIV/0!,#DIV/0!,48.57606973,#DIV/0!,,
17,85,,9.15,-24.836,38185,2707,,,,,,85,0,-24.75,#DIV/0!,0.3,#DIV/0!,#DIV/0!,18.5906908,#DIV/0!,,
18,104,,10.132,-25.165,27888,1906,,,,,,104,0,-24.97,#DIV/0!,0.2,#DIV/0!,#DIV/0!,29.23714586,#DIV/0!,,
19,68,,2.38,-22.893,56050,3867,,,,,,68,0,-22.96,#DIV/0!,1.5,#DIV/0!,#DIV/0!,3.385053013,#DIV/0!,,
20,152,,9.62,-24.458,20692,1332,,,,,,152,0,-24.18,#DIV/0!,0.1,#DIV/0!,#DIV/0!,39.72222222,#DIV/0!,,
21,78,,6.536,-25.177,33505,2333,,,,,,78,0,-25.04,#DIV/0!,0.3,#DIV/0!,#DIV/0!,15.40848693,#DIV/0!,,
22,135,,9.158,-24.468,21718,1476,,,,,,135,0,-24.21,#DIV/0!,0.2,#DIV/0!,#DIV/0!,34.12533875,#DIV/0!,,
23,Taipan,,0.218,-11.651,159296,3779,,,,,,Taipan,0,-11.67,#DIV/0!,47.8,#DIV/0!,#DIV/0!,0.317279704,#DIV/0!,,
24,HOC,,1.39,-27.662,125683,4975,,,,,,HOC,0,-27.89,#DIV/0!,5.9,#DIV/0!,#DIV/0!,1.536683417,#DIV/0!,,
25,LOC,,0.894,-26.79,14660,1001,,,,,,LOC,0,-26.47,#DIV/0!,1.1,#DIV/0!,#DIV/0!,4.912087912,#DIV/0!,,
26,LOC,,1.524,-26.774,24467,1701,,,,,,LOC,0,-26.55,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.927689594,#DIV/0!,,
27,LOC,,2.966,-26.555,48675,3462,,,,,,LOC,0,-26.57,#DIV/0!,1.1,#DIV/0!,#DIV/0!,4.712016176,#DIV/0!,,
28,LOC,,5.054,-26.169,80239,5692,,,,,,LOC,0,-26.49,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.883520731,#DIV/0!,,
29,130,,10.122,-24.518,32663,2201,,,,,,130,0,-24.36,#DIV/0!,0.2,#DIV/0!,#DIV/0!,25.29350295,#DIV/0!,,
30,51,,2.27,-24.869,58037,4077,,,,,,51,0,-24.97,#DIV/0!,1.7,#DIV/0!,#DIV/0!,3.062300711,#DIV/0!,,
31,94,,10.06,-25.124,35117,2448,,,,,,94,0,-25.00,#DIV/0!,0.2,#DIV/0!,#DIV/0!,22.60212418,#DIV/0!,,
32,57,,2.174,-25.514,23272,1622,,,,,,57,0,-25.28,#DIV/0!,0.7,#DIV/0!,#DIV/0!,7.371763255,#DIV/0!,,
33,37.5,,7.094,-24.273,120519,4868,,,,,,37.5,0,-24.48,#DIV/0!,1.1,#DIV/0!,#DIV/0!,8.014995892,#DIV/0!,,
34,157,,9.906,-24.275,17601,1246,,,,,,157,0,-23.99,#DIV/0!,0.1,#DIV/0!,#DIV/0!,43.72632424,#DIV/0!,,
35,87,,8.976,-25.117,63400,4544,,,,,,87,0,-25.28,#DIV/0!,0.5,#DIV/0!,#DIV/0!,10.86443662,#DIV/0!,,
36,71,,2.716,-25.27,15677,1131,,,,,,71,0,-24.97,#DIV/0!,0.4,#DIV/0!,#DIV/0!,13.20778073,#DIV/0!,,
37,160,,11.794,-24.477,43289,3052,,,,,,160,0,-24.43,#DIV/0!,0.2,#DIV/0!,#DIV/0!,21.25393185,#DIV/0!,,
38,136,,9.344,-24.978,51016,3556,,,,,,136,0,-25.01,#DIV/0!,0.4,#DIV/0!,#DIV/0!,14.45219348,#DIV/0!,,
39,159,,9.868,-24.114,20591,1441,,,,,,159,0,-23.85,#DIV/0!,0.1,#DIV/0!,#DIV/0!,37.66412214,#DIV/0!,,
40,73,,4.576,-25.006,133687,3363,,,,,,73,0,-25.01,#DIV/0!,1.9,#DIV/0!,#DIV/0!,7.483794231,#DIV/0!,,
41,79,,9.956,-24.303,17410,1251,,,,,,79,0,-24.01,#DIV/0!,0.1,#DIV/0!,#DIV/0!,43.77138289,#DIV/0!,,
42,158,,10.768,-24.333,18690,1341,,,,,,158,0,-24.06,#DIV/0!,0.1,#DIV/0!,#DIV/0!,44.16405667,#DIV/0!,,
43,108,,9.658,-25.179,19065,1378,,,,,,108,0,-24.91,#DIV/0!,0.1,#DIV/0!,#DIV/0!,38.5478955,#DIV/0!,,
44,187,,10.518,-24.196,15564,1113,,,,,,187,0,-23.89,#DIV/0!,0.1,#DIV/0!,#DIV/0!,51.97574124,#DIV/0!,,
45,64,,4.372,-24.014,115801,4776,,,,,,64,0,-24.21,#DIV/0!,1.7,#DIV/0!,#DIV/0!,5.034757119,#DIV/0!,,
46,62,,5.076,-24.355,223460,4693,,,,,,62,0,-24.54,#DIV/0!,2.9,#DIV/0!,#DIV/0!,5.948860004,#DIV/0!,,
47,Taipan,,0.22,-11.568,155129,3613,,,,,,Taipan,0,-11.57,#DIV/0!,46.1,#DIV/0!,#DIV/0!,0.334901744,#DIV/0!,,
48,HOC,,1.386,-27.596,125600,4968,,,,,,HOC,0,-27.82,#DIV/0!,5.9,#DIV/0!,#DIV/0!,1.53442029,#DIV/0!,,
49,LOC,,1.048,-27.071,17808,1288,,,,,,LOC,0,-26.79,#DIV/0!,1.1,#DIV/0!,#DIV/0!,4.47515528,#DIV/0!,,
50,52,,3.358,-24.774,54137,3981,,,,,,52,0,-24.86,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.639286611,#DIV/0!,,
51,153,,11.532,-24.28,20874,1492,,,,,,153,0,-24.02,#DIV/0!,0.1,#DIV/0!,#DIV/0!,42.51072386,#DIV/0!,,
52,133,,10.278,-24.581,19444,1404,,,,,,133,0,-24.31,#DIV/0!,0.1,#DIV/0!,#DIV/0!,40.26282051,#DIV/0!,,
53,67,,2.186,-23.117,59614,4345,,,,,,67,0,-23.25,#DIV/0!,1.8,#DIV/0!,#DIV/0!,2.767088608,#DIV/0!,,
54,34,,8.754,-24.645,17770,1280,,,,,,34,0,-24.36,#DIV/0!,0.1,#DIV/0!,#DIV/0!,37.61484375,#DIV/0!,,
55,Taipan,,0.234,-11.67,163961,3811,,,,,,Taipan,0,-11.69,#DIV/0!,45.9,#DIV/0!,#DIV/0!,0.337706639,#DIV/0!,,
56,HOC,,1.282,-27.594,115989,4754,,,,,,HOC,0,-27.79,#DIV/0!,5.9,#DIV/0!,#DIV/0!,1.483172066,#DIV/0!,,
57,LOC,,1.096,-26.73,16952,1220,,,,,,LOC,0,-26.44,#DIV/0!,1.0,#DIV/0!,#DIV/0!,4.940983607,#DIV/0!,,
