Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,?13C (‰VPDB),?15? (‰??R),%C,%N,C:N,TMc,TMn,Desired Ampl,
1,Flush,,0.238,-12.205,386.346,11173,,,,,,Flush,0,-11.97,#DIV/0!,39.7,#DIV/0!,#DIV/0!,0.117157433,#DIV/0!,5500,C Ampl 44
2,Blank,,,-29.888,3.663,107,,,,,,Blank,0,-29.28,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,2000,Dilution used
3,Flush,,0.281,-11.996,469.543,13544,,,,,,Flush,0,-11.91,#DIV/0!,45.8,#DIV/0!,#DIV/0!,0.114109569,#DIV/0!,,
4,Flush,,0.232,-11.881,377.213,10857,,,,,,Flush,0,-11.61,#DIV/0!,39.2,#DIV/0!,#DIV/0!,0.117527862,#DIV/0!,,
5,Taipan,,0.236,-11.823,379.167,10977,,,,,,Taipan,0,-11.56,#DIV/0!,38.9,#DIV/0!,#DIV/0!,0.118247244,#DIV/0!,,
6,LOC,,0.944,-26.496,77.57,2248,,,,,,LOC,0,-25.96,#DIV/0!,1.1,#DIV/0!,#DIV/0!,2.309608541,#DIV/0!,,
7,HOC,,1.341,-28.115,272.946,7761,,,,,,HOC,0,-27.99,#DIV/0!,4.2,#DIV/0!,#DIV/0!,0.950328566,#DIV/0!,,
8,144,,10.394,-24.11,95.209,2638,,,,,,144,0,-23.55,#DIV/0!,0.1,#DIV/0!,#DIV/0!,21.67058378,#DIV/0!,,
9,82,,8.29,-25.068,180.117,5159,,,,,,82,0,-24.70,#DIV/0!,0.4,#DIV/0!,#DIV/0!,8.837953092,#DIV/0!,,
10,113,,9.217,-24.898,149.787,4104,,,,,,113,0,-24.46,#DIV/0!,0.3,#DIV/0!,#DIV/0!,12.35221735,#DIV/0!,,
11,155,,9.303,-24.788,119.318,3318,,,,,,155,0,-24.29,#DIV/0!,0.2,#DIV/0!,#DIV/0!,15.42088608,#DIV/0!,,
12,98,,8.044,-25.19,134.038,3812,,,,,,98,0,-24.73,#DIV/0!,0.3,#DIV/0!,#DIV/0!,11.60598111,#DIV/0!,,
13,128,,8.672,-24.16,69.444,1953,,,,,,128,0,-23.55,#DIV/0!,0.1,#DIV/0!,#DIV/0!,24.421915,#DIV/0!,,
14,86,,9.337,-25.052,158.526,4591,,,,,,86,0,-24.65,#DIV/0!,0.3,#DIV/0!,#DIV/0!,11.18568939,#DIV/0!,,
15,156,,9.151,-24.669,78.364,2238,,,,,,156,0,-24.09,#DIV/0!,0.1,#DIV/0!,#DIV/0!,22.48905273,#DIV/0!,,
16,Taipan,,0.222,-11.917,370.07,10797,,,,,,Taipan,0,-11.65,#DIV/0!,39.8,#DIV/0!,#DIV/0!,0.113086969,#DIV/0!,,
17,HOC,,1.3,-28.042,267.431,7685,,,,,,HOC,0,-27.91,#DIV/0!,4.2,#DIV/0!,#DIV/0!,0.930383865,#DIV/0!,,
18,LOC,,0.795,-27.064,75.479,2226,,,,,,LOC,0,-26.54,#DIV/0!,1.3,#DIV/0!,#DIV/0!,1.964285714,#DIV/0!,,
19,LOC,,1.439,-27.014,115.768,3346,,,,,,LOC,0,-26.57,#DIV/0!,1.2,#DIV/0!,#DIV/0!,2.365361626,#DIV/0!,,
20,LOC,,3.014,-26.779,240.798,7144,,,,,,LOC,0,-26.59,#DIV/0!,1.5,#DIV/0!,#DIV/0!,2.320408735,#DIV/0!,,
21,LOC,,4.989,-26.454,392.188,11428,,,,,,LOC,0,-26.54,#DIV/0!,1.9,#DIV/0!,#DIV/0!,2.401076304,#DIV/0!,,
22,177,,8.286,-25.188,209.291,6089,,,,,,177,0,-24.89,#DIV/0!,0.5,#DIV/0!,#DIV/0!,7.48448021,#DIV/0!,,
23,34,,0.397,-27.252,10.005,282,,,,,,34,0,-26.60,#DIV/0!,0.3,#DIV/0!,#DIV/0!,7.742907801,#DIV/0!,,
24,150,,8.881,-24.662,81.039,2302,,,,,,150,0,-24.09,#DIV/0!,0.1,#DIV/0!,#DIV/0!,21.21872285,#DIV/0!,,
25,32,,0.471,-25.418,64.12,1886,,,,,,32,0,-24.84,#DIV/0!,1.8,#DIV/0!,#DIV/0!,1.373541888,#DIV/0!,,
26,89,,10.138,-25.026,182.675,5299,,,,,,89,0,-24.67,#DIV/0!,0.3,#DIV/0!,#DIV/0!,10.52255142,#DIV/0!,,
27,70,,2.102,-25.161,283.317,8387,,,,,,70,0,-25.02,#DIV/0!,2.8,#DIV/0!,#DIV/0!,1.378442828,#DIV/0!,,
28,74,,5.005,-25.604,123.358,3592,,,,,,74,0,-25.14,#DIV/0!,0.4,#DIV/0!,#DIV/0!,7.663557906,#DIV/0!,,
29,Taipan,,0.234,-12.008,395.73,11707,,,,,,Taipan,0,-11.80,#DIV/0!,41.9,#DIV/0!,#DIV/0!,0.109934227,#DIV/0!,,
30,HOC,,1.261,-28.165,268.357,7774,,,,,,HOC,0,-28.04,#DIV/0!,4.3,#DIV/0!,#DIV/0!,0.892140468,#DIV/0!,,
31,LOC,,1.002,-27.142,85.901,2521,,,,,,LOC,0,-26.64,#DIV/0!,1.2,#DIV/0!,#DIV/0!,2.186037287,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
