Line,Identifier 1,Identifier 2,Amount,d 13C/12C,Area 44,Ampl  44,d 15N/14N,Area 28,Ampl  28,%N,%C,Identifier 1,Identifier 2,δ13C (‰VPDB),δ15Ν (‰ΑΙR),%C,%N,C:N,TMc,TMn,Desired Ampl,
1,Flush,,,-11.967,261133,2973,11.19,35.69,1768,,,Flush,0,-12.21,8.36,#DIV/0!,#DIV/0!,#DIV/0!,0,0,5500,C Ampl 44
3,Flush,,,-11.633,244934,2950,11.244,33.222,1712,,,Flush,0,-11.91,8.36,#DIV/0!,#DIV/0!,#DIV/0!,0,0,2000,Dilution used
4,Flush,,,-11.489,289663,3150,11.362,39.119,1876,,,Flush,0,-11.76,8.37,#DIV/0!,#DIV/0!,#DIV/0!,0,0,,
5,Taipan,,0.269,-11.339,346899,1894,11.561,47.593,2487,,,Taipan,0,-11.71,8.38,47.28,7.12,6.6,0.781151003,0.216324889,,
6,LOC,posthypy,1.022,-26.109,29186,1497,-2.768,1.281,58,,,LOC,posthypy,-26.55,7.46,1.02,0.14,7.4,3.754843019,35.24137931,,
7,HOC,posthypy,1.307,-27.58,211473,3390,1.433,7.004,338,,,HOC,posthypy,-27.93,7.73,5.86,0.54,10.8,2.120501475,7.733727811,,
8,38,posthypy,4.411,-24.749,135462,3940,0.526,2.583,113,,,38,posthypy,-25.07,7.67,1.10,0.06,17.6,6.15748731,78.07079646,,
9,97,posthypy,5.723,-24.335,161760,4590,5.186,2.43,115,,,97,posthypy,-24.63,7.97,1.02,0.05,22.3,6.857625272,99.53043478,,
10,134,posthypy,10.62,-23.775,53332,2787,3.297,2.195,100,,,134,posthypy,-24.19,7.85,0.18,0.02,8.0,20.95801938,212.4,,
11,80,posthypy,9.347,-24.7,84646,4401,4.008,2.593,122,,,80,posthypy,-25.03,7.90,0.32,0.03,10.9,11.68109521,153.2295082,,
12,96,posthypy,10.123,-24.131,41568,2227,-4.177,1.198,52,,,96,posthypy,-24.61,7.37,0.15,0.01,11.3,25.00067355,389.3461538,,
13,103,posthypy,11.385,-23.926,68294,3976,8.171,2.686,144,,,103,posthypy,-24.31,8.16,0.21,0.03,8.5,15.74886821,158.125,,
14,90,posthypy,15.747,-24.453,112287,6239,7.873,3.623,183,,,90,posthypy,-24.71,8.14,0.26,0.02,10.5,13.88179195,172.0983607,,
15,59,posthypy,1.977,-24.124,228986,3639,-5.99,1.951,87,,,59,posthypy,-24.56,7.26,4.20,0.11,39.3,2.988046167,45.44827586,,
16,75,posthypy,10.867,-24.691,86008,4804,2.805,1.876,88,,,75,posthypy,-25.07,7.82,0.28,0.02,15.1,12.441403,246.9772727,,
17,31.5,posthypy,3.717,-24.168,120115,6981,4.472,2.802,143,,,31.5,posthypy,-24.42,7.93,1.16,0.08,14.4,2.928448646,51.98601399,,
18,106,posthypy,9.479,-24.436,63689,3313,8.944,3.202,150,,,106,posthypy,-24.93,8.21,0.24,0.04,6.7,15.73634168,126.3866667,,
19,120,posthypy,10.49,-23.338,40579,2023,15.526,2.944,134,,,120,posthypy,-23.93,8.63,0.14,0.03,4.6,28.51952546,156.5671642,,
20,91,posthypy,7.546,-24.355,55695,2864,4.405,2.264,104,,,91,posthypy,-24.91,7.92,0.26,0.03,8.1,14.49127095,145.1153846,,
21,93,posthypy,11.337,-23.956,70185,3854,14.968,3.624,187,,,93,posthypy,-24.46,8.60,0.22,0.03,6.5,16.17890503,121.2513369,,
22,101,posthypy,10.762,-24.183,74929,3925,13.746,3.364,159,,,101,posthypy,-24.70,8.52,0.25,0.03,7.5,15.08050955,135.3710692,,
23,Taipan,posthypy,0.22,-11.091,286854,3374,10.546,37.433,1856,,,Taipan,posthypy,-11.62,8.31,47.54,9.43,5.0,0.358624778,0.237068966,,
24,HOC,posthypy,1.308,-27.175,221255,3419,1.759,6.515,321,,,HOC,posthypy,-27.76,7.75,6.13,0.51,12.1,2.104124013,8.14953271,,
25,LOC,posthypy,0.845,-25.827,25738,1340,,,,,,LOC,posthypy,-26.55,7.64,1.08,0.00,#DIV/0!,3.468283582,#DIV/0!,,
26,LOC,posthypy,1.503,-25.844,44769,2285,-2.809,1.706,70,,,LOC,posthypy,-26.52,7.46,1.06,0.12,8.6,3.617724289,42.94285714,,
27,LOC,posthypy,3.034,-26.028,85915,4718,2.197,3.001,143,,,LOC,posthypy,-26.57,7.78,1.01,0.11,9.6,3.536880034,42.43356643,,
28,LOC,posthypy,5.042,-25.97,139857,4026,2.743,4.955,252,,,LOC,posthypy,-26.57,7.81,1.00,0.10,9.8,6.887978142,40.01587302,,
29,109,posthypy,9.048,-24.217,50580,2731,16.158,2.857,135,,,109,posthypy,-24.90,8.67,0.20,0.03,5.9,18.22189674,134.0444444,,
30,53,posthypy,3.783,-23.866,49755,2682,-2.645,1.511,64,,,53,posthypy,-24.57,7.47,0.47,0.04,10.8,7.757829978,118.21875,,
31,56,posthypy,1.81,-23.788,198893,3323,10.293,4.361,225,,,56,posthypy,-24.47,8.30,3.97,0.25,15.8,2.99578694,16.08888889,,
32,63,posthypy,2.903,-23.885,191344,3236,3.14,2.106,96,,,63,posthypy,-24.58,7.84,2.38,0.08,30.4,4.934023486,60.47916667,,
33,25,posthypy,3.164,-23.799,24709,1258,,,,,,25,posthypy,-24.63,7.64,0.28,0.00,#DIV/0!,13.83306836,#DIV/0!,,
34,162,prehypy,12.406,-24.115,200837,3266,1.914,17.763,876,,,162,prehypy,-24.84,7.76,0.59,0.12,4.8,20.89191672,28.32420091,,
35,101,prehypy,16.93,-21.98,672145,3542,1.251,28.09,1362,,,101,prehypy,-22.69,7.72,1.50,0.12,13.0,26.28881988,24.86049927,,
36,160,prehypy,16.328,-24.346,257174,3437,-3.274,19.325,914,,,160,prehypy,-25.09,7.43,0.57,0.10,5.9,26.12860052,35.72866521,,
37,78,prehypy,14.886,-26.414,1025890,3358,-0.828,36.911,1855,,,78,prehypy,-27.18,7.59,2.68,0.14,19.3,24.38147707,16.04959569,,
38,80,prehypy,15.173,-26.379,934268,2722,-2.381,34.464,1595,,,80,prehypy,-27.20,7.49,2.38,0.14,17.5,30.65815577,19.02570533,,
39,,,,,424096,,,,,,,0,0,-0.93,7.64,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
40,Taipan,prehypy,0.262,-10.747,454211,1577,78,,,,,Taipan,prehypy,-11.62,12.64,64.19,0.00,#DIV/0!,0.913760304,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
