Sample Name,d (0.1),d (0.5),d (0.9),"D [3, 2] - Surface weighted mean ","D [4, 3] - Volume weighted mean"
100 - Average,1.416,11.873,176.7,3.995,45.73
92 - Average,1.284,10.231,93.005,3.65,30.013
120 - Average,1.433,10.416,101.127,3.926,30.431
104 - Average,1.35,10.586,96.291,3.787,28.955
132 - Average,1.753,12.557,939.335,4.719,195.62
161 - Average,1.279,5.989,780.803,3.231,145.147
94 - Average,1.462,15.906,1173.484,4.328,296.713
108 - Average,1.264,8.996,69.325,3.508,29.609
82 - Average,1.155,5.983,31.969,3.006,11.932
82 - Average,2.299,16.602,161.398,5.78,44.011
70 - Average,2.299,16.602,161.398,5.78,44.011
102 - Average,1.323,10.36,89.362,3.731,38.974
75 - Average,1.37,10.229,80.742,3.813,34.98
176 - Average,1.234,7.565,41.199,3.298,32.15
166 - Average,1.217,8.101,57.414,3.338,30.768
187 - Average,1.11,6.755,27.854,2.984,14.619
126 - Average,1.275,8.853,162.489,3.518,65.925
38 - Average,5.925,26.934,187.066,12.067,54.098
27 - Average,8.783,37.379,229.453,16.533,74.191
117 - Average,1.261,7.721,58.112,3.378,30.233
58 - Average,4.942,26.334,216.014,10.437,60.522
87 - Average,1.339,13.019,170.242,3.913,50.533
85 - Average,1.236,11.517,182.407,3.629,50.396
72 - Average,1.305,10.15,55.957,3.666,24.087
51 - Average,4.585,27.585,208.91,9.7,60.313
95 - Average,1.298,7.422,41.835,3.435,17.805
90 - Average,1.358,12.519,241.936,3.94,106.212
79 - Average,1.202,8.259,136.599,3.347,36.71
112 - Average,1.174,11.725,257.293,3.432,100.294
197 - Average,1.37,8.405,189.834,3.644,81.449
53 - Average,5.713,30.609,218.619,11.622,64.372
96 - Average,1.191,9.771,253.132,3.441,113.583
110 - Average,1.278,8.869,91.721,3.543,34.608
114 - Average,1.113,5.975,26.95,2.914,10.606
106 - Average,0.845,5.107,26.373,2.333,12.951
31 - Average,7.575,30.084,212.343,14.457,62.028
66 - Average,5.328,22.096,186.403,11.224,49.439
36 - Average,5.963,26.874,202.357,12.403,56.47
33 - Average,10.424,39.621,234.023,18.644,77.75
64 - Average,5.259,23.814,198.99,11.159,54.542
56 - Average,5.644,25.433,228.925,12.135,66.364
60 - Average,3.491,17.716,214.602,7.838,55.569
0 - Average,3.623,19.048,182.068,8.575,46.334
132 - Average,1.558,7.831,31.888,3.898,12.55
161 - Average,0.706,2.727,24.649,1.775,8.894
