ID_2,ID_1,Distance_from_lake,Common_name,Dominance,ID_Beasley,Sci_name,Family,,Phy_abundance,Diagnostic,Comments,Modern_reference,Phy_Presence,
4,,SAN 100,Orange creeper,,,,,,,,,1,0,
,5,SAN 350,Poaceae ,Major,,Isachne confusa,Poaceae,,Abundant,,,1,1,
,8,SAN 50,Tropical Banksia,,455,Banksia dentata,Proteaceae,,Limited,,,1,0,
,8,SAN 100,Tropical Bankisia,,455,Banksia dentata,Proteaceae,,Limited,,,1,0,
,8,SAN 150,Tropical Bankisia,,455,Banksia dentata,Proteaceae,,Limited,,,1,0,
,,SAN 200,Tropical Bankisia,,455,Banksia dentata,Proteaceae,,Limited,,,1,0,
,,SAN 150,Ada-A Morinda (Mapoon),Minor,479,Morinda reticulata,Rubiaceae,,,,,,,
,,SAN 300,Ada-A Morinda (Mapoon),Minor,479,Morinda reticulata,Rubiaceae,,,,,,,
,,SAN 100,Melaleuca,Minor,,,Myrtaceae,,non Common,Limited,,,,
,2,SAN 400,Hop Bush,Major,72,Dodonaea polyandra,Sapindaceae,,Limited,No,,1,0,
,,SAN 450,Eucalyptus,Major,,,Myrtaceae,,non Common,,,,,
,1,SAN 100,Jacksonia,Major,475,Jacksonia thesioides,Fabaceae,,Genus dependent,,,1,0,
,,SAN 300,Acacia,,,,Fabaceae,,Genus dependent,Limited,,,,
,6,SAN 300 ,Northern Cabbage Tree Palm,,143,Livistona muelleri,Arecaceae,,Abundant,Yes,Livistona victoriae Wallis,1,1,Ornamented spherical bodies in Palmae…could be Bromeliaceae
1,,SAN 200,Bushman's Clothes Pegs,,457,Grevillea glauca,Proteaceae,angiosperm,Limited,No,Grevilea no phytoliths,1,0,
1,,SAN 300,Bushman's Clothes Pegs,,457,Grevillea glauca,Proteaceae,,Limited,Limited,,1,0,
1,,SAN 350,Bushman's Clothes Pegs,,457,Grevillea glauca,Proteaceae,,Limited,Limited,,1,0,
,,SAN 200,Small white howeu,Minor,,,,,,,,,,
,,SAN 200,Boronia,,467,Boronia alulata,Rutaceae,,,,,,,
,,SAN 200,Wedge Pea,,472,Gompholobium nitidum,Fabaceae,,Genus dependent,,,,,
,,SAN 450,Quinine tree,Minor,65,Petalostigma pubescens,Picrodendraceae,,,,,,,
,,SAN 150,Beach myrtella,Minor,478,Lithomyrtus obtusa,Myrtaceae,,non common,,,,,
2,,SAN 450,Poaceae ,,,Thaumastochloa major,Poaceae,,,,,1,1,
,,SAN 50,Weeping Tea tree,Minor,388,Leptospermum madidum,Myrtaceae,,non common,,,,,
,,SAN 51,Bladderworts,Minor,590,Utricularia,Lentibulariaceae,,,No,utricularia muelleri,,,
,,SAN 50,Woody Sun dew,,588,Drosera lanata,Droseraceae,,Limited,Limited,,,,
,7,SAN 50,Tassel cordrush,,585,Baloskion tetraphyllum ,Restionaceae,in flower,,,,1,1,
,,SAN 50,Cape york heath plant,,466,Asteromyrtus lysicephala,Myrtaceae,,non common,,,,,
,,SAN 100,Cape york heath plant,,466,Asteromyrtus lysicephala,Myrtaceae,,non common,,,,,
3,,SAN 50,Golden parrot tree (honey wattle),Minor,473,Grevillea pteridifolia,Proteaceae,,Limited,,,1,x,
3,,SAN 100,Golden parrot tree (honey wattle),Minor,473,Grevillea pteridifolia,Proteaceae,,Limited,,,1,x,
,,SAN 00,Native Lasiandra,Minor,94,Melastoma malabathricum,Melastomataceae,,,,,,,
,4,SAN 00,,,,pandanus,Pandanaceae,Water edge sample (young),,No,No phytoliths in family,1,1,
,7,SAN 00,Tassel cordrush,major,585,Baloskion tetraphyllum ,Restionaceae,,,,,,,
6,,SAN 00,Thryptomene,,97,Thryptomene oligandra,Myrtaceae,,,,,1,x,
8,,SAN 00,Bulburu sedge,Major,586,Eleocharis sphacelata,Cyperaceae,,,Abundant,plate with nodes Eleocharis dulcis Wallis,1,0,
5,,SAN 350,Unknown,,,,,,,,,1,1,
7,,SAN 200,Unknown,,,,,,,,,1,x,
