Depth (cm),Ti,Si,Fe,Description,Layer,Unit,Distance to base (cm),Age range (ka cal yr BP)
0-43,Low with one abrupt fluctuation,High,Low,2.5 YR 4/6 Dark silty peat,5,5q,8.2,4.4
,,,,,,5p,8.6,4.5
,,,,,,5o,8.8,4.6
,,,,,,5n,9.5,4.7
,,,,,,5m,10.8,4.8
,,,,,,5l,13.5,4.9
,,,,,,5k,17,5.2
,,,,,,5j,18,5.3
,,,,,,5i,21,5.7
,,,,,,5h,23,5.8
,,,,,,5g,23.3,5.9
,,,,,,5f,23.4,6
,,,,,,5e,27,6.5
,,,,,,5d,30,7
,,,,,,5c,32,7.4
,,,,,,5b,39,8.6
,,,,,,5a,42,9.4
43-65,High to middle,Middle to high,High,5 YR 4/4 Silty clay,4,4c,43,9.6
,,,,,,4b,47,10.8
,,,,,,4a,52,12.9
65-71,Decreasing tendency,Very low,High,7.5 YR 4/3 thinly stratified lenses (reddish bands),3,3a,65,17.6
71-140,High,Fluctuations between low and middle counts,High,7.5 YR 4/3 Silty clay,2,2d,71,20
,,,,,,2c,85,22.8
,,,,,,2b,98,25
,,,,,,2a,115,27.9
140-172,High,Low,High,5YR 5/8 Silty clay with gravel,1,1c,140,29
,,,,,,1b,161,31.4
,,,,,,1a,172,33
